Stop,StopTranslated,Fish,FishTranslated,BaitRagworm,BaitKrill,BaitPlumpWorm,BaitVersatileLure,BaitSpecial,BaitMooch,BaitSpecialType,BaitSpecialTypeTranslated,BaitMoochType,BaitMoochTypeTranslated,BestBait,BestBaitTranslated,Points,DH,TH,Bite,Hookset,hooksetName,WeatherFairSkies,WeatherClouds,WeatherFog,WeatherSpecial1,WeatherSpecial2,WeatherSpecial3,WeatherClearSkies,WeatherSpecial1Type,WeatherSpecial1TypeTranslated,WeatherSpecial2Type,WeatherSpecial2TypeTranslated,WeatherSpecial3Type,WeatherSpecial3TypeTranslated,TimeFrameDay,TimeFrameSunset,TimeFrameNight,Stars,Mission,Species,SpeciesTranslated,Intuition,FabledTable,Route1,Route2,Route3,Route4,Route5,Route6
Sirensong,Mer du Chant des sirènes,Deepshade Sardine,Sardine sombrécaille,5 - 9,5 - 9,5 - 9,8 - 12,,,,,,,Plump Worm,Ver charnu,15,2,3,!!,Powerful,Ferrage puissant,Yes,Yes,Yes,No,No,,Yes,Rain,Pluie,Thunderstorms,Orages violents,,,,,,1,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes
Sirensong,Mer du Chant des sirènes,Sirensong Mussel,Moule du Chant des sirènes,4 - 7,4 - 7,4 - 7,8 - 11,,,,,,,Ragworm,Teigne,11,3,5,!,Precision,Ferrage précis,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,Pluie,Thunderstorms,Orages violents,,,,,,1,M,Shellfish,Mollusque,,No,Yes,Yes,Yes,Yes,Yes,Yes
Sirensong,Mer du Chant des sirènes,Arrowhead,Pointe-de-flèche,9.5 - 18,9.5 - 18,9.5 - 18,12 - 22,,,,,,,Krill,Krill,10,3,5,!!,Powerful,Ferrage puissant,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,Pluie,Thunderstorms,Orages violents,,,,,,1,Q,Squid,Céphalopode,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Sirensong,Mer du Chant des sirènes,Pink Shrimp,Crevette rosée,13 - 20,8 - 15,13 - 20,13 - 20,,,,,,,Krill,Krill,31,3,5,!,Precision,Ferrage précis,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,Pluie,Thunderstorms,Orages violents,,,,,,2,H,Shrimp,Crevette,,No,Yes,Yes,Yes,Yes,Yes,Yes
Sirensong,Mer du Chant des sirènes,Sirensong Mullet,Mulet chantant,10 - 14,5 - 9,10 - 14,10 - 14,,,,,,,Krill,Krill,42,2,3,!!,Powerful,Ferrage puissant,Yes,Yes,Yes,Yes,No,,Yes,Rain,Pluie,Thunderstorms,Orages violents,,,,,,2,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes
Sirensong,Mer du Chant des sirènes,Selkie Puffer,Tétrodon selkie,11 - 20,15 - 25,15 - 25,15 - 24,,,,,,,Ragworm,Teigne,38,4,7,!,Precision,Ferrage précis,Yes,No,No,Yes,Yes,,Yes,Rain,Pluie,Thunderstorms,Orages violents,,,,,,2,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes
Sirensong,Mer du Chant des sirènes,T!Poet's Pipe,Ocarina-du-barde,17 - 29,18 - 30,18 - 30,18 - 30,,,,,,,Ragworm,Teigne,56,2,3,!,Precision,Ferrage précis,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,Pluie,Thunderstorms,Orages violents,,,,,,3,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes
Sirensong,Mer du Chant des sirènes,Marine Matanga,Matanga marin,17 - 27,17 - 27,16 - 26,17 - 27,,,,,,,Plump Worm,Ver charnu,47,2,3,!!!,Powerful,Ferrage puissant,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,Pluie,Thunderstorms,Orages violents,,,,,,3,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Sirensong,Mer du Chant des sirènes,Spectral Coelacanth,Cœlacanthe spectral,15 - 25,15 - 25,15 - 25,15 - 25,,,,,,,Plump Worm,Ver charnu,100,1,1,!!!,Powerful,Ferrage puissant,Yes,Yes,Yes,Yes,Yes,,No,Rain,Pluie,Thunderstorms,Orages violents,,,,,,4,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Sirensong,Mer du Chant des sirènes,I!Dusk Shark,Requin crépusculaire,,,12 - 23,,,,,,,,Plump Worm,Ver charnu,263,1,1,!!!,Powerful,Ferrage puissant,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,Pluie,Thunderstorms,Orages violents,,,,,,4,,,,"(60s) x2 <img class=""iconMini"" src=""../img/fish/Poet_s Pipe.png"" alt=""Ocarina-du-barde"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""Ocarina-du-barde"" tabindex=""0"">",No,Yes,Yes,Yes,Yes,Yes,Yes
